I
1000 Generated by WorldEditor

1    547 1 0 PAEI EIELSON AFB
100 45.72 2 2 0.25 0 3 0 13  64.68402200 -147.11902500    0    0 3 1 0 0 31  64.64730800 -147.08399700    0    0 3 1 0 0
110 2 0.00 0.0000 New Taxiway 72
111  64.68437275 -147.11308569
111  64.68418427 -147.11289924
111  64.68448873 -147.11050928
113  64.68470620 -147.11076353
110 2 0.00 0.0000 New Taxiway 71
111  64.68403205 -147.11276364
111  64.68385082 -147.11256024
111  64.68412628 -147.11040758
113  64.68427126 -147.11057708
110 2 0.00 0.0000 New Taxiway 43
111  64.64792837 -147.08185683
111  64.64778924 -147.08173260
111  64.64818615 -147.07944871
113  64.64833346 -147.07964938
110 2 0.00 0.0000 New Taxiway 31
111  64.65309753 -147.08559926
111  64.65300982 -147.08613937
111  64.65091270 -147.08416517
113  64.65098446 -147.08368094
110 1 0.00 0.0000 New Taxiway 30
111  64.65509555 -147.09077487
112  64.65565691 -147.09022167  64.65572708 -147.08997580
112  64.65567445 -147.08948407  64.65562182 -147.08934065
111  64.65548148 -147.08913576
111  64.65580602 -147.08739420
112  64.65620949 -147.08712784  64.65631475 -147.08677953
111  64.65638492 -147.08595998
112  64.65625905 -147.08523195  64.65609240 -147.08488364
111  64.65726204 -147.08619733
112  64.65691996 -147.08661562  64.65683225 -147.08720980
111  64.65673577 -147.08782447
112  64.65684979 -147.08856207  64.65694628 -147.08874647
111  64.65634983 -147.08989385
111  64.65620949 -147.09071340
112  64.65642877 -147.09208616  64.65681471 -147.09276229
113  64.65687611 -147.09288523
110 2 0.00 0.0000 New Taxiway 22
111  64.64758643 -147.07105268
111  64.64726012 -147.07156066
111  64.64288524 -147.05886194
113  64.64311087 -147.05837907
110 2 0.00 0.0000 New Taxiway 21
111  64.68187158 -147.10425503
111  64.68153634 -147.10610033
111  64.67971407 -147.10464734
113  64.68003380 -147.10255807
110 2 0.00 0.0000 New Taxiway 20
111  64.67788715 -147.10548536
111  64.67783443 -147.10579348
111  64.67543569 -147.10354423
112  64.67530389 -147.10252745  64.67541592 -147.10192662
112  64.67582450 -147.10218852  64.67594971 -147.10232717
111  64.67818370 -147.10443777
111  64.67815734 -147.10471507
111  64.67571247 -147.10260448
114  64.67565975 -147.10335936  64.67608810 -147.10389856
110 2 0.00 0.0000 New Taxiway 19
111  64.67422469 -147.10185875
111  64.67411596 -147.10202819
111  64.67392748 -147.10135043
113  64.67402897 -147.10116405
110 2 0.00 0.0000 New Taxiway 18
111  64.67368102 -147.10136738
111  64.67355779 -147.10160459
111  64.67335482 -147.10094378
113  64.67349255 -147.10072351
110 2 0.00 0.0000 New Taxiway 17
111  64.67484320 -147.10307977
111  64.67505589 -147.10198237
111  64.67245993 -147.09939015
111  64.67249845 -147.09915004
111  64.67515674 -147.10188134
111  64.67488705 -147.10326199
111  64.67235087 -147.10061224
113  64.67237483 -147.10051422
110 2 0.00 0.0000 New Taxiway 16
111  64.67313567 -147.10089229
111  64.67299189 -147.10108833
111  64.67281815 -147.10048621
113  64.67299788 -147.10030417
110 2 0.00 0.0000 New Taxiway 15
111  64.67264442 -147.10043020
111  64.67253059 -147.10064024
111  64.67226699 -147.09996811
113  64.67239879 -147.09970206
110 2 0.00 0.0000 New Taxiway 14
111  64.67208901 -147.09994489
111  64.67190450 -147.10031455
111  64.67165408 -147.09948282
113  64.67182542 -147.09914397
110 2 0.00 0.0000 New Taxiway 13
111  64.67153427 -147.09938527
111  64.67136294 -147.09983192
111  64.67110593 -147.09910804
113  64.67128386 -147.09863058
110 2 0.00 0.0000 New Taxiway 12
111  64.67099390 -147.09896942
111  64.67082256 -147.09924666
111  64.67060509 -147.09839956
113  64.67077643 -147.09809152
110 2 0.00 0.0000 New Taxiway 11
111  64.67045023 -147.09837648
111  64.67026900 -147.09880002
111  64.67006603 -147.09798682
113  64.67028350 -147.09752939
110 2 0.00 0.0000 New Taxiway 5
111  64.65861697 -147.08613504
111  64.65862662 -147.08611250
111  64.65662941 -147.08444460
111  64.65715385 -147.08068563
113  64.65917657 -147.08250621
111  64.65694780 -147.08361064
111  64.65687062 -147.08408397
111  64.65850119 -147.08554902
113  64.65858802 -147.08500808
111  64.65734339 -147.08158210
111  64.65727585 -147.08207797
111  64.65873275 -147.08340779
113  64.65879064 -147.08297954
110 2 0.00 0.0000 New Taxiway 10
111  64.66977608 -147.09705502
111  64.66997905 -147.09783434
111  64.66971084 -147.09837648
113  64.66948612 -147.09756327
110 2 0.00 0.0000 New Taxiway 8
111  64.66939867 -147.09687276
111  64.66927025 -147.09792307
111  64.66514799 -147.09405193
113  64.66528925 -147.09288159
110 1 0.00 0.0000 mainasphalt
111  64.64744410 -147.08338044
112  64.64752129 -147.08286223  64.64755988 -147.08272704
112  64.64754059 -147.08245666  64.64749234 -147.08238907
112  64.64728973 -147.08184832  64.64726079 -147.08155541
112  64.64719325 -147.08038379  64.64712571 -147.07973039
111  64.64650064 -147.07757943
112  64.64632085 -147.07748947  64.64630801 -147.07754944
111  64.64583286 -147.07796927
112  64.64533202 -147.07649988  64.64528066 -147.07622999
111  64.64661622 -147.07404090
111  64.64695011 -147.07572020
112  64.64684737 -147.07631996  64.64682169 -147.07649988
112  64.64736105 -147.07934870  64.64743810 -147.07946865
112  64.64765642 -147.07919876  64.64770778 -147.07907881
112  64.64784905 -147.07907881  64.64790041 -147.07904882
112  64.64793894 -147.07868897  64.64788757 -147.07856902
112  64.64754084 -147.07682974  64.64754084 -147.07608005
112  64.64763073 -147.07482058  64.64761789 -147.07443074
112  64.64715558 -147.07299134  64.64704000 -147.07275144
111  64.64253068 -147.05893363
112  64.64235941 -147.05686385  64.64244514 -147.05597622
112  64.64271996 -147.05460866  64.64282647 -147.05471001
111  64.64348985 -147.05550573
112  64.64347735 -147.05665556  64.64346973 -147.05695662
112  64.64352377 -147.05854471  64.64367518 -147.05903953
111  64.64808469 -147.07020219
112  64.64831156 -147.07179499  64.64832865 -147.07227391
112  64.64817015 -147.07535426  64.64823852 -147.07571345
111  64.64846073 -147.07659148
112  64.64892223 -147.07579328  64.64905897 -147.07475561
112  64.64968155 -147.07086235  64.64977255 -147.07017183
112  64.65034131 -147.06533822  64.65038681 -147.06438212
112  64.64997731 -147.05960162  64.64963605 -147.05832682
112  64.64786153 -147.05460866  64.64738377 -147.05423684
112  64.64504049 -147.05312139  64.64456274 -147.05333386
111  64.64356472 -147.05457634
112  64.64348985 -147.05550573  64.64342876 -147.05543316
111  64.64271996 -147.05460866
112  64.64287924 -147.05417533  64.64303849 -147.05380352
112  64.64467649 -147.05195283  64.64545675 -147.05166572
112  64.64815728 -147.05328074  64.64831654 -147.05338698
112  64.64899904 -147.05402438  64.64922655 -147.05402438
112  64.65020481 -147.05274958  64.65045506 -147.05237776
111  64.65056881 -147.05211218
111  64.65195658 -147.05949539
112  64.65075081 -147.06162005  64.65075081 -147.06199187
112  64.65084182 -147.06438212  64.65081907 -147.06501952
112  64.65027306 -147.07096858  64.64995455 -147.07208403
112  64.64927205 -147.07612090  64.64927205 -147.07622713
112  64.64979530 -147.07808621  64.65031856 -147.07851114
112  64.65058370 -147.07832066  64.65072167 -147.07822152
112  64.65129478 -147.07799845  64.65156011 -147.07807281
111  64.65668376 -147.08226215
111  64.65700340 -147.08011044
112  64.65918441 -147.08199867  64.65933483 -147.08204258
112  64.65982368 -147.08125216  64.66006810 -147.08112042
